Event Month,Event Start,Event End,State,County,NERC Region (N),Alert Criteria (N),Event Type (N),Demand Loss (MW),Number of Customers Affected
January,2021-01-02 10:28:00,2021-01-02 10:29:00,California,Butte County,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,System Operations,8,5803
January,2021-01-04 10:34:00,2021-01-04 10:49:00,Pennsylvania,,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,6,3825
January,2021-01-08 01:26:00,2021-01-08 02:45:00,Arkansas,Prairie County,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Sabotage,Unknown,1908
January,2021-01-10 22:44:00,2021-01-13 16:00:00,Texas,Anderson County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,188000
January,2021-01-10 22:44:00,2021-01-13 16:00:00,Texas,Angelina County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,188000
January,2021-01-10 22:44:00,2021-01-13 16:00:00,Texas,Dallas County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,188000
January,2021-01-10 22:44:00,2021-01-13 16:00:00,Texas,Freestone County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,188000
January,2021-01-10 22:44:00,2021-01-13 16:00:00,Texas,Henderson County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,188000
January,2021-01-10 22:44:00,2021-01-13 16:00:00,Texas,Houston County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,188000
January,2021-01-10 22:44:00,2021-01-13 16:00:00,Texas,Leon County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,188000
January,2021-01-10 22:44:00,2021-01-13 16:00:00,Texas,Nacogdoches County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,188000
January,2021-01-10 22:44:00,2021-01-13 16:00:00,Texas,Smith County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,188000
January,2021-01-10 22:44:00,2021-01-13 16:00:00,Texas,Tarrant County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,188000
January,2021-01-11 05:00:00,2021-01-11 14:22:00,Louisiana,,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.","Severe Weather,Distribution Interruption",Unknown,58000
January,2021-01-11 05:00:00,2021-01-11 14:22:00,Texas,,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.","Severe Weather,Distribution Interruption",Unknown,58000
January,2021-01-12 23:50:00,2021-01-15 13:00:00,Washington,Kitsap County,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,100,320000
January,2021-01-12 23:50:00,2021-01-15 13:00:00,Washington,Thurston County,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,100,320000
January,2021-01-12 23:50:00,2021-01-15 13:00:00,Washington,King County,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,100,320000
January,2021-01-12 23:50:00,2021-01-15 13:00:00,Washington,Pierce County,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,100,320000
January,2021-01-12 23:50:00,2021-01-15 13:00:00,Washington,Skagit County,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,100,320000
January,2021-01-12 23:50:00,2021-01-15 13:00:00,Washington,Whatcom County,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,100,320000
January,2021-01-12 20:46:00,2021-01-13 16:00:00,Oregon,Clackamas County,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,94231
January,2021-01-12 20:46:00,2021-01-13 16:00:00,Oregon,Multnomah County,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,94231
January,2021-01-12 20:46:00,2021-01-13 16:00:00,Oregon,Washington County,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,94231
January,2021-01-12 23:49:00,2021-01-14 14:00:00,Washington,,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.","Severe Weather,Distribution Interruption",150,70000
January,2021-01-12 20:30:00,,Washington,Snohomish County,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.","Severe Weather,Transmission Interruption",200,62000
January,2021-01-13 03:43:00,2021-01-13 16:00:00,Washington,,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,185,70417
January,2021-01-13 03:43:00,2021-01-13 16:00:00,Idaho,,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,185,70417
January,2021-01-13 13:05:00,2021-01-13 13:06:00,Georgia,Houston County,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
January,2021-01-15 17:48:00,2021-01-15 18:55:00,Missouri,,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
January,2021-01-18 14:07:00,2021-01-18 14:42:00,Connecticut,,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
January,2021-01-19 09:31:00,2021-01-21 14:36:00,California,Kern County,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,173746
January,2021-01-19 09:31:00,2021-01-21 14:36:00,California,Los Angeles County,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,173746
January,2021-01-19 09:31:00,2021-01-21 14:36:00,California,Riverside County,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,173746
January,2021-01-19 09:31:00,2021-01-21 14:36:00,California,San Bernardino County,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,173746
January,2021-01-19 09:31:00,2021-01-21 14:36:00,California,Ventura County,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,173746
January,2021-01-19 09:31:00,2021-01-21 14:36:00,California,Orange County,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,173746
January,2021-01-19 02:48:00,2021-01-20 11:41:00,California,,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,411,124888
January,2021-01-21 00:00:00,2021-02-03 16:55:00,Texas,,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
January,2021-01-21 00:00:00,2021-02-03 16:55:00,Louisiana,,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
January,2021-01-21 00:00:00,2021-02-03 16:55:00,Arkansas,Pulaski County,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
January,2021-01-21 00:00:00,2021-02-03 16:55:00,Mississippi,,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
January,2021-01-23 07:00:00,2021-01-27 13:45:00,Georgia,Laurens County,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Cyber Event,29,Unknown
